Id,GameId,GameSysname,ProviderId,Provider,ManufId,Manuf,TypeId,Type,Alias,CaptionEN,Category,Description,Credits,IsLive,IsMobile,IsJackpot,JackpotContr.,ProviderFee,IsBonusExcluded,UpdateMan,UpadateCaptionEN,UpadateCategory,UpdateCaption,UpdateMobile,UpdateType,UpdateBonusExcluded,
5493,8323,IF_7112,80,Iforium,20,Realistic,3,MOBILE,IF_WinSprintpulltab_Mobile,Win Sprint pull tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5493,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Win Sprint pull tab' WHERE id =5493,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5493,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_WinSprintpulltab_Mobile' WHERE id =5493,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5493,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5493,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5493,
5494,8324,IF_7113,80,Iforium,20,Realistic,12,NORMAL,IF_RainbowMagicpulltab,Rainbow Magic pull tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5494,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Rainbow Magic pull tab' WHERE id =5494,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5494,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_RainbowMagicpulltab' WHERE id =5494,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5494,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5494,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5494,
5495,8325,IF_7114,80,Iforium,20,Realistic,3,MOBILE,IF_RainbowMagicpulltab_Mobile,Rainbow Magic pull tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5495,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Rainbow Magic pull tab' WHERE id =5495,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5495,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_RainbowMagicpulltab_Mobile' WHERE id =5495,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5495,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5495,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5495,
5496,8326,IF_7115,80,Iforium,20,Realistic,12,NORMAL,IF_TripleKingspulltab,Triple Kings pull tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5496,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Triple Kings pull tab' WHERE id =5496,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5496,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_TripleKingspulltab' WHERE id =5496,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5496,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5496,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5496,
5497,8327,IF_7116,80,Iforium,20,Realistic,3,MOBILE,IF_TripleKingspulltab_Mobile,Triple Kings pull tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5497,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Triple Kings pull tab' WHERE id =5497,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5497,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_TripleKingspulltab_Mobile' WHERE id =5497,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5497,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5497,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5497,
5498,8328,IF_7117,80,Iforium,20,Realistic,12,NORMAL,IF_JewelleryBoxpulltab,Jewellery Box pull tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5498,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Jewellery Box pull tab' WHERE id =5498,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5498,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_JewelleryBoxpulltab' WHERE id =5498,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5498,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5498,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5498,
5499,8329,IF_7118,80,Iforium,20,Realistic,3,MOBILE,IF_JewelleryBoxpulltab_Mobile,Jewellery Box pull tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5499,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Jewellery Box pull tab' WHERE id =5499,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5499,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_JewelleryBoxpulltab_Mobile' WHERE id =5499,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5499,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5499,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5499,
5500,8330,IF_7119,80,Iforium,20,Realistic,12,NORMAL,IF_8thWonderPulltab,8th Wonder Pull tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5500,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = '8th Wonder Pull tab' WHERE id =5500,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5500,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_8thWonderPulltab' WHERE id =5500,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5500,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5500,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5500,
5501,8331,IF_7120,80,Iforium,20,Realistic,3,MOBILE,IF_8thWonderPulltab_Mobile,8th Wonder Pull tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5501,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = '8th Wonder Pull tab' WHERE id =5501,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5501,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_8thWonderPulltab_Mobile' WHERE id =5501,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5501,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5501,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5501,
5502,8332,IF_7121,80,Iforium,20,Realistic,12,NORMAL,IF_RE_MoneyMatrix_Scratch,Money Matrix,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5502,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Money Matrix' WHERE id =5502,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5502,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_RE_MoneyMatrix_Scratch' WHERE id =5502,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5502,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5502,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5502,
